prvdr_id,lgl_name,ccn
1484677,testing 123,
323487,Sisters Of Charity H Hlth Care,337294
1633734,testing 123,
1041147,,337283
154164,testing 123,
58492,Provider Name,
323504,Broadlawn Manor Lthhcp,337409
323319,"Genesee Region Home Care Association, Inc.",337066
1487552,testing 123,
1508703,testing 123,
1645900,testing 123,
155892,testing 123,
160472,testing 123,
323313,Jefferson Co Pub Hlth Svs Chha,337056
323325,"Visiting Nurse Service Association of Schenectady County, Inc.",337076
1600581,testing 123,
5722,Test provider 3,
1593932,testing 123,
323343,"St. Vincent Catholic Medical Centers Home Health Care, Inc.",337115
1572360,testing 123,
1485277,testing 123,
1564271,testing 123,
154163,testing 123,
1606326,testing 123,
1633739,testing 123,
1319447,"Northern Lights Health Care Partnership, Inc.",337442
1601329,Denzel's HHA provider,
1572356,testing 123,
323369,Flushing Hosp Med Ctr Hcd,337160
122092,Denzel's HHA provider,
155151,testing 123,
1610065,testing 123,
1485267,testing 123,
157652,testing 123,
1597476,testing 123,
1600577,testing 123,
321904,,330102
322435,,333027
160467,testing 123,
154167,testing 123,
5719,vnewyork1,
1556455,testing 123,
1523995,Denzel's HHA provider,
162624,testing 123,
323305,Westchester Co Doh Chha,337042
1618161,testing 123,
1595732,testing 123,
1567089,testing 123,
323427,Westchester County Health Care Corporation,337227
1611780,testing 123,
155147,testing 123,
156629,testing 123,
1564167,testing 123,
118130,Denzel's HHA provider,
1611777,testing 123,
162998,testing 123,
1639188,testing 123,
1604387,testing 123,
1485866,testing 123,
109089,Denzel's HHA provider,
1637378,testing 123,
155933,testing 123,
1564180,testing 123,
323377,Long Island Jewish Mc Chha,337170
157204,testing 123,
1636029,testing 123,
1528740,testing 123,
323405,"Lutheran Center at Poughkeepsie, Inc.",337201
154157,testing 123,
1441388,testing 123,
1631761,testing 123,
1635595,testing 123,
1251742,"A & T Certified Home Care, LLC",337439
323354,Wyoming Co Doh Chha,337137
157653,testing 123,
323287,Vns Rochester Monroe Co Chha,337010
1341062,"Your Choice At Home, Inc",337451
1621138,testing 123,
1546987,testing 123,
1616269,testing 123,
322034,,330285
1493354,testing 123,
117907,Denzel's HHA provider,
323420,"Yertle Operations, LLC",337218
1657220,testing 123,
155931,testing 123,
323449,Us Homecare Cert Corp Ny Chha,337252
323512,"Elant at Goshen, Inc.",337417
322071,,330394
1194576,"Park Gardens Rehabilitation and Nursing Center, LLC",337432
156611,testing 123,
321909,,330108
323451,"Samaritan Home Health, Inc.",337254
155149,testing 123,
1616267,testing 123,
1485275,testing 123,
1580852,testing 123,
1639846,Denzel's HHA provider,
1631753,testing 123,
29980,Home Care assistance New York,
1610060,testing 123,
323323,Fulton Co Nursing Svs Chha,337074
1623542,testing 123,
155474,testing 123,
1606330,testing 123,
323472,"Hudson Valley Care Partners, LLC",337277
1441385,testing 123,
323296,"L. Woerner, Inc.",337024
1508716,testing 123,
321871,,330057
321838,,330010
323432,"QC-Medi New York, Inc.",337232
157211,testing 123,
1560880,testing 123,
1564179,testing 123,
1560879,testing 123,
1439594,testing 123,
1657217,testing 123,
1493482,testing 123,
323297,Nassau Co Dept Health Homecare,337025
1613439,testing 123,
1493363,testing 123,
1041126,,337048
323316,Viahealth Home Care Chha,337060
1441376,testing 123,
158765,testing 123,
1617073,Denzel's HHA provider,
321926,,330133
1556452,testing 123,
1454643,testing 123,
161756,testing 123,
1593942,testing 123,
1179975,"Fort Tryon Rehabilitation and Health Care Facility, LLC",337431
1637381,testing 123,
1484674,testing 123,
155893,testing 123,
1485259,testing 123,
321975,,330201
162997,testing 123,
1485279,testing 123,
1647890,testing 123,
1439601,testing 123,
124492,Denzel's HHA provider,
1496007,testing 123,
1614194,Denzel's HHA provider,
323356,"The Dominican Sisters Family Health Service, Inc.",337140
1487550,testing 123,
1568642,testing 123,
323414,"Bethel Nursing Home Company, Inc.",337211
1551250,testing 123,
323440,Mercy Hospital Long Term Hhcp,337242
1657228,testing 123,
323336,Mount Sinai Hosp Home Care Dep,337093
323428,Home Health Providers Inc,337228
1572364,testing 123,
1493358,testing 123,
1637383,testing 123,
1551253,testing 123,
109763,Denzel's HHA provider,
1508721,testing 123,
159644,testing 123,
101740,Denzel's HHA provider,337462
157209,testing 123,
154800,testing 123,
1334871,"Queens Long Island Certified Home Health Agency, LLC",337448
1621136,testing 123,
159641,testing 123,
1602485,testing 123,
157218,testing 123,
155894,testing 123,
1653386,testing 123,
321865,,330048
323412,Sisters of Charity Hospital LTHHCP,337209
163004,testing 123,
1610062,testing 123,
1041143,,337240
162629,testing 123,
153828,testing 123,
164061,testing 123,
321966,,330191
1524468,testing 123,
1546979,testing 123,
1649661,testing 123,
323348,NYC Health and Hospital Corporation,337122
1439596,testing 123,
159458,testing 123,
323376,Gouverneur Hospital Chha,337169
1485879,testing 123,
323473,"Morningside Acquisition I, LLC",337278
1643152,testing 123,
1647883,testing 123,
1605246,Denzel's HHA provider,
323503,"Litson Certified Care, Inc., d/b/a Willcare",337408
1439599,testing 123,
1606324,testing 123,
1493481,testing 123,
1528722,testing 123,
1469327,testing 123,
1631757,testing 123,
156630,testing 123,
323471,The Hebrew Home for the Aged at Riverdale,337276
1568646,testing 123,
1546984,testing 123,
1602486,testing 123,
1487538,testing 123,
322013,,330246
1546983,testing 123,
1524557,testing 123,
323454,"L. Woerner, Inc., d/b/a HCR",337257
1508701,testing 123,
1610061,testing 123,
1575871,TEST McGlynn LLC 97815,
1613434,testing 123,
1625318,testing 123,
1439598,testing 123,
1575772,TEST Dietrich Inc 68217,
1469316,testing 123,
1636025,testing 123,
1041128,,337082
1500356,testing 123,
1653390,testing 123,
1041142,,337239
323442,Recco Visiting Nurses Chha,337244
61448,New York Milkshake and More Home Health,61448
323389,Home Care Buffalo Inc,337184
1633738,testing 123,
1623544,testing 123,
1612350,Denzel's HHA provider,
323484,St Elizabeth Certified Home Care,337291
1640936,testing 123,
323309,Greene County Public Health Nursing Service CHHA,337050
118324,Denzel's HHA provider,
122465,Denzel's HHA provider,
1041127,,337059
321868,,330053
1651586,testing 123,
1564169,testing 123,
1600574,testing 123,
165113,testing 123,
321870,,330056
323485,"QC-Medi New York, Inc.",337292
1633735,testing 123,
1476807,testing 123,
323291,Visiting Nurse Service and Hospice of Suffolk Inc,337014
99495,Denzel's HHA provider,337461
1621127,testing 123,
161739,testing 123,
1629549,testing 123,
1621137,testing 123,
323397,"St Marys Hospital For Children, Inc.",337193
154797,testing 123,
120483,Denzel's HHA provider,
155888,testing 123,
1490522,testing 123,
1653395,testing 123,
1469320,testing 123,
1567096,testing 123,
1568652,testing 123,
1484676,testing 123,
1566769,testing 123,
323400,"Highland View Care Center Operating Co., LLC",337196
1640942,testing 123,
1576415,TEST Maggio Inc 59260,
1633737,testing 123,
47521,Provider Name,
154796,testing 123,
1493362,testing 123,
1644803,Denzel's HHA provider,
158769,testing 123,
1528792,testing 123,
1647884,testing 123,
1618150,testing 123,
1500344,testing 123,
323317,"Metropolitan Jewish Home Care, Inc.",337061
1487539,testing 123,
1600578,testing 123,
1640938,testing 123,
1625315,testing 123,
1651584,testing 123,
323415,Vns Ithaca  Tompkins Co Chha,337212
1621132,testing 123,
323470,"Childs Nursing Home Company, Inc. LTHHCP",337275
156620,testing 123,
1334017,,331318
1611771,testing 123,
323477,"Oswego Health Home Care, LLC",337284
1597473,testing 123,
1041139,,337216
323338,"Good Samaritan Hospital of Suffern, Inc.",337107
323430,"Health Quest Home Care, Inc. (Certified)",337230
1468751,Denzel's HHA provider,
1649669,testing 123,
323284,"Visiting Nurse Association of Western New York, Inc.",337006
1633745,testing 123,
156614,testing 123,
1629557,testing 123,
153831,testing 123,
322067,,330389
1593941,testing 123,
1485860,testing 123,
323349,City Hosp ital Center at Elmhurst Home Care Department,337125
1562144,Denzel's HHA provider,
1647888,testing 123,
156608,Prov1TEST2AK-AOU-NY-R2,156608
1476808,testing 123,
1623537,testing 123,
162996,testing 123,
156616,testing 123,
1626976,testing 123,
1600579,testing 123,
1653394,testing 123,
323295,"L. Woerner, Inc.",337023
323418,"Ideal Senior Living Center, Inc.",337215
1638096,Denzel's HHA provider,
155925,testing 123,
323448,McAuley Seton Home Care Corporation,337251
1625888,Denzel's HHA provider,
1593933,testing 123,
1249147,Extraordinary Home Care,337438
153826,testing 123,
1485278,testing 123,
161742,testing 123,
165116,testing 123,
323401,Our Lady Of Consolation Geriatric Care Center,337197
323332,St Lawrence County Public Health Department,337085
1566768,testing 123,
1564268,testing 123,
